text,no_char,transformed_text
How do you plan to manage that,30,plan manag
"Er, hello, things didnÛ÷t quite go to plan ÛÒ is limping slowly home followed by aa and with exhaust hanging off",114,er hello thing quit go plan limp slowli home follow aa exhaust hang
Sorry for the delay. Yes masters,32,sorri delay ye master
Call me when u finish then i come n pick u.,43,call u finish come n pick u
PRIVATE! Your 2004 Account Statement for 078498****7 shows 786 unredeemed Bonus Points. To claim call 08719180219 Identifier Code: 45239 Expires 06.05.05,153,privat 2004 account statement 078498 7 show 786 unredeem bonu point claim call 08719180219 identifi code 45239 expir
What's up my own oga. Left my phone at home and just saw ur messages. Hope you are good. Have a great weekend.,110,oga left phone home saw ur messag hope good great weekend
"Don't worry though, I understand how important it is that I be put in my place with a poorly thought out punishment in the face of the worst thing that has ever happened to me. Brb gonna go kill myself",201,worri though understand import put place poorli thought punish face worst thing ever happen brb gon na go kill
"Honey, can you pls find out how much they sell Predicte in Nigeria. And how many times can it be used. Its very important to have a reply before monday",151,honey pl find much sell predict nigeria mani time use import repli monday
E admin building there? I might b slightly earlier... I'll call u when i'm reaching...,86,e admin build might b slightli earlier call u reach
"fyi I'm at usf now, swing by the room whenever",46,fyi usf swing room whenev
i can call in  &lt;#&gt;  min if thats ok,41,call lt gt min that ok
ÌÏ no home work to do meh... ,29,ìï home work meh
Anything is valuable in only 2 situations: First- Before getting it... Second- After loosing it...,98,anyth valuabl 2 situat get loos
Me too. Mark is taking forever to pick up my prescription and the pain is coming back.,86,mark take forev pick prescript pain come back
How's ur paper?,15,ur paper
Got smaller capacity one? Quite ex...,37,got smaller capac one quit ex
Check Out Choose Your Babe Videos @ sms.shsex.netUN fgkslpoPW fgkslpo,69,check choos babe video fgkslpopw fgkslpo
Im good! I have been thinking about you...,42,im good think
u r a winner U ave been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810710p/min (18 ),152,u r winner u ave special select 2 receiv cash 4 holiday flight inc speak live oper 2 claim 18
:-) :-),7,
Not thought bout it... || Drink in tap & spile at seven. || Is that pub on gas st off broad st by canal. || Ok?,111,thought bout drink tap spile seven pub ga st broad st canal ok
I am going to sleep. I am tired of travel.,42,go sleep tire travel
"Haha, just what I was thinkin",29,haha thinkin
Yup but it's not giving me problems now so mayb i'll jus leave it...,68,yup give problem mayb ju leav
Lol no. Just trying to make your day a little more interesting,62,lol tri make day littl interest
"How long before you get reply, just defer admission til next semester",69,long get repli defer admiss til next semest
"The word \Checkmate\"" in chess comes from the Persian phrase \""Shah Maat\"" which means; \""the king is dead..\"" Goodmorning.. Have a good day..:)""",145,word chess come persian phrase shah mean king dead goodmorn good day
Po de :-):):-):-):-). No need job aha.,38,po de need job aha
Rats. Hey did u ever vote for the next themes?,46,rat hey u ever vote next theme
"New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today! From ONLY å£1. www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION.",153,new mobil 2004 must go txt nokia 89545 collect today 2optout txtauction
I hope your pee burns tonite.,29,hope pee burn tonit
"OH RITE. WELL IM WITH MY BEST MATE PETE, WHO I WENT OUT WITH 4 A WEEK+ NOW WERE 2GEVA AGAIN. ITS BEEN LONGER THAN A WEEK.",121,oh rite well im best mate pete went 4 2geva longer week
Yay can't wait to party together!,33,yay ca wait parti togeth
....photoshop makes my computer shut down.,42,photoshop make comput shut
All boys made fun of me today. Ok i have no problem. I just sent one message just for fun,89,boy made fun today ok problem sent one messag fun
That's one of the issues but california is okay. No snow so its manageable,74,one issu california okay snow manag
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0,135,privat 2003 account statement show 800 point call 08715203652 identifi code 42810 expir
"Hmmm.... Mayb can try e shoppin area one, but forgot e name of hotel...",71,hmmm mayb tri e shoppin area one forgot e name hotel
"Awesome, that gonna be soon or later tonight?",45,awesom gon na soon later tonight
I need details about that online job.,37,need detail onlin job
YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a å£150 prize. To collect is easy. Just call 09061743386 ,136,valu vodafon custom comput pick win prize collect easi call 09061743386
Missing you too.pray inshah allah,33,miss inshah allah
Pls help me tell Ashley that i cant find her number oh,54,pl help tell ashley cant find number oh
S.this will increase the chance of winning.,43,increas chanc win
either way works for me. I am  &lt;#&gt;  years old. Hope that doesnt bother you.,81,either way work lt gt year old hope doesnt bother
Maybe you should find something else to do instead???,53,mayb find someth els instead
Gain the rights of a wife.dont demand it.i am trying as husband too.Lets see,76,gain right demand tri husband see
I liked your new house,22,like new hous
I'm fine. Hope you are also,27,fine hope also
"Also north carolina and texas atm, you would just go to the gre site and pay for the test results to be sent.",109,also north carolina texa atm would go gre site pay test result sent
Same to u...,12,u
yes baby! I need to stretch open your pussy!,44,ye babi need stretch open pussi
Thanks  and ! Or bomb and date as my phone wanted to say! ,58,thank bomb date phone want say
"Hey, a guy I know is breathing down my neck to get him some bud, anyway you'd be able to get a half track to usf tonight?",121,hey guy know breath neck get bud anyway abl get half track usf tonight
"\Response\"" is one of d powerful weapon 2 occupy a place in others 'HEART'... So",80,one power weapon 2 occupi place other
Nokia phone is lovly..,22,nokia phone lovli
**FREE MESSAGE**Thanks for using the Auction Subscription Service. 18 . 150p/MSGRCVD 2 Skip an Auction txt OUT. 2 Unsubscribe txt STOP CustomerCare 08718726270,159,free messag thank use auction subscript servic 18 2 skip auction txt 2 unsubscrib txt stop customercar 08718726270
Sorry da..today i wont come to play..i have driving clas..,58,sorri da today wont come play drive cla
I'm really sorry I lit your hair on fire,40,realli sorri lit hair fire
"Oh! Shit, I thought that was your trip! Loooooool ... That just makes SO much more sense now ... *grins* and the sofa reference was ... The \sleep on a couch\"" link you sent me ... Wasn't that how you went on your trip ? Oh ... And didn't your babe go with you for that celebration with your rents?""",299,oh shit thought trip loooooool make much sens grin sofa refer link sent went trip oh babe go celebr rent
Okey dokey swashbuckling stuff what oh.,39,okey dokey swashbuckl stuff oh
1. Tension face 2. Smiling face 3. Waste face 4. Innocent face 5.Terror face 6.Cruel face 7.Romantic face 8.Lovable face 9.decent face  &lt;#&gt; .joker face.,158,tension face smile face wast face innoc face face face face face face lt gt face
Dip's cell dead. So i m coming with him. U better respond else we shall come back.,82,dip cell dead come u better respond els shall come back
Well. You know what i mean. Texting,35,well know mean text
Hi dis is yijue i would be happy to work wif Ì_ all for gek1510...,66,hi di yiju would happi work wif gek1510
Lol! Oops sorry! Have fun. ,27,lol oop sorri fun
Wat happened to the cruise thing,32,wat happen cruis thing
"I know dat feelin had it with Pete! Wuld get with em , nuther place nuther time mayb?",85,know dat feelin pete wuld get em nuther place nuther time mayb
lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468,137,lyricalladi invit friend repli see stop send stop frnd 62468
The world's most happiest frnds never have the same characters... Dey just have the best understanding of their differences...,126,world happiest frnd never charact dey best understand differ
Yeah just open chat and click friend lists. Then make the list. Easy as pie,75,yeah open chat click friend list make list easi pie
alright tyler's got a minor crisis and has to be home sooner than he thought so be here asap,92,alright tyler got minor crisi home sooner thought asap
When/where do I pick you up,27,pick
As usual u can call me ard 10 smth.,35,usual u call ard 10 smth
For many things its an antibiotic and it can be used for chest abdomen and gynae infections even bone infections.,113,mani thing antibiot use chest abdomen gyna infect even bone infect
Poor girl can't go one day lmao,31,poor girl ca go one day lmao
Or just do that 6times,22,6time
You have to pls make a note of all she.s exposed to. Also find out from her school if anyone else was vomiting. Is there a dog or cat in the house? Let me know later.,166,pl make note expos also find school anyon els vomit dog cat hous let know later
Sounds like there could be a lot of time spent in that chastity device boy ... *grins* ... Or take your beatings like a good dog. Going to lounge in a nice long bath now ?,171,sound like could lot time spent chastiti devic boy grin take beat like good dog go loung nice long bath
Its worse if if uses half way then stops. Its better for him to complete it.,76,wors use half way stop better complet
Miserable. They don't tell u that the side effects of birth control are massive gut wrenching cramps for the first 2 months. I didn't sleep at all last night.,158,miser tell u side effect birth control massiv gut wrench cramp first 2 month sleep last night
Send me the new number,22,send new number
Want the latest Video handset? 750 anytime any network mins? Half price line rental? Reply or call 08000930705 for delivery tomorrow,132,want latest video handset 750 anytim network min half price line rental repli call 08000930705 deliveri tomorrow
2 and half years i missed your friendship:-),44,2 half year miss friendship
Oh for fuck's sake she's in like tallahassee,44,oh fuck sake like tallahasse
"Haha, that was the first person I was gonna ask",47,haha first person gon na ask
"ou are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18",146,ou guarante latest nokia phone 40gb ipod mp3 player prize txt word collect 83355 ibhltd ldnw15h
Taka lor. Wat time u wan 2 come n look 4 us?,44,taka lor wat time u wan 2 come n look 4 us
* FREE* POLYPHONIC RINGTONE Text SUPER to 87131 to get your FREE POLY TONE of the week now! 16 SN PoBox202 NR31 7ZS subscription 450pw,134,free polyphon rington text super 87131 get free poli tone week 16 sn pobox202 nr31 7z subscript 450pw
"\I;m reaching in another 2 stops.\""""",36,reach anoth 2
"no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?",415,mean post wrote like mani time ritten stuff let sit feel time angri left hit send stop check phone got car said sleep bore would time clean fold laundri least make bed
Warner Village 83118 C Colin Farrell in SWAT this wkend @Warner Village & get 1 free med. Popcorn!Just show msg+ticket@kiosk.Valid 4-7/12. C t&c @kiosk. Reply SONY 4 mre film offers,181,warner villag 83118 c colin farrel swat wkend warner villag get 1 free med popcorn show c c kiosk repli soni 4 mre film offer
Will you come online today night,32,come onlin today night
Then anything special?,22,anyth special
"I'm in solihull, | do you want anything?",40,solihul want anyth
Will do. Have a good day,24,good day
WE REGRET TO INFORM U THAT THE NHS HAS MADE A MISTAKE.U WERE NEVER ACTUALLY BORN.PLEASE REPORT 2 YOR LOCAL HOSPITAL 2B TERMINATED.WE R SORRY 4 THE INCONVENIENCE,160,regret inform u nh made never actual report 2 yor local hospit 2b r sorri 4 inconveni
Love that holiday Monday feeling even if I have to go to the dentists in an hour,80,love holiday monday feel even go dentist hour
I am on the way to tirupur.,27,way tirupur
"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins.",155,goal arsen 4 henri 7 v liverpool 2 henri score simpl shot 6 yard pass bergkamp give arsen 2 goal margin 78 min
You've already got a flaky parent. It'snot supposed to be the child's job to support the parent...not until they're The Ride age anyway. I'm supposed to be there to support you. And now i've hurt you. unintentional. But hurt nonetheless.,237,alreadi got flaki parent suppos child job support parent ride age anyway suppos support hurt unintent hurt nonetheless
We took hooch for a walk toaday and i fell over! Splat! Grazed my knees and everything! Should have stayed at home! See you tomorrow! ,134,took hooch walk toaday fell splat graze knee everyth stay home see tomorrow
"Just dropped em off, omw back now",33,drop em omw back
Sitting in mu waiting for everyone to get out of my suite so I can take a shower,80,sit mu wait everyon get suit take shower
Re your call; You didn't see my facebook huh?,45,call see facebook huh
"G says you never answer your texts, confirm/deny",48,g say never answer text
"Its so common hearin How r u? Wat r u doing? How was ur day? So let me ask u something different. Did u smile today? If not, do it now.... Gud evng.",148,common hearin r u wat r u ur day let ask u someth differ u smile today gud evng
Oh yah... We never cancel leh... Haha ,38,oh yah never cancel leh haha
We can go 4 e normal pilates after our intro...  ,49,go 4 e normal pilat intro
Ok... Let u noe when i leave my house.,38,ok let u noe leav hous
"Oh yes, why is it like torture watching england?",48,oh ye like tortur watch england
Wanna do some art?! :D,22,wan na art
Just hopeing that wasnÛ÷t too pissed up to remember and has gone off to his sisters or something!,98,hope piss rememb gone sister someth
"Hi, the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service",124,hi sexychat girl wait text text great night chat send stop stop servic
"Good morning, my boytoy! How's those yummy lips ? Where's my sexy buns now ? What do you do ? Do you think of me ? Do you crave me ? Do you need me ?",149,good morn boytoy yummi lip sexi bun think crave need
Match started.india  &lt;#&gt;  for 2,37,match lt gt 2
Once free call me sir.,22,free call sir
Hey do you want anything to buy:),33,hey want anyth buy
"Hey babe, how's it going ? Did you ever figure out where your going for New Years ?",83,hey babe go ever figur go new year
K..k.:)congratulation ..,24,k congratul
G wants to know where the fuck you are,38,g want know fuck
No it was cancelled yeah baby! Well that sounds important so i understand my darlin give me a ring later on this fone love Kate x,129,cancel yeah babi well sound import understand darlin give ring later fone love kate x
Tomarrow i want to got to court. At  &lt;DECIMAL&gt; . So you come to bus stand at 9.,85,tomarrow want got court lt decim gt come bu stand 9
ÌÏ go home liao? Ask dad to pick me up at 6...,46,ìï go home liao ask dad pick 6
Omg you can make a wedding chapel in frontierville? Why do they get all the good stuff?,87,omg make wed chapel frontiervil get good stuff
"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice...",106,eatin lor goin back work soon e mountain deer show huh watch b4 liao nice
Check mail.i have mailed varma and kept copy to you regarding membership.take care.insha allah.,95,check mail varma kept copi regard allah
Wrong phone! This phone! I answer this one but assume the other is people i don't well,86,wrong phone phone answer one assum peopl well
"Anyway I don't think I can secure anything up here, lemme know if you want me to drive down south and chill",107,anyway think secur anyth lem know want drive south chill
I'm already back home so no probably not,40,alreadi back home probabl
"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties...",137,hi ami send free phone number coupl day give access adult parti
I am in bus on the way to calicut,33,bu way calicut
Hi its me you are probably having too much fun to get this message but i thought id txt u cos im bored! and james has been farting at me all night,146,hi probabl much fun get messag thought id txt u co im bore jame fart night
hi baby im sat on the bloody bus at the mo and i wont be home until about 7:30 wanna do somethin later? call me later ortxt back jess xx,136,hi babi im sat bloodi bu mo wont home wan na somethin later call later ortxt back jess xx
"Welcome to Select, an O2 service with added benefits. You can now call our specially trained advisors FREE from your mobile by dialling 402.",140,welcom select o2 servic ad benefit call special train advisor free mobil diall 402
I lost 4 pounds since my doc visit last week woot woot! Now I'm gonna celebrate by stuffing my face!,100,lost 4 pound sinc doc visit last week woot woot gon na celebr stuf face
U coming back 4 dinner rite? Dad ask me so i re confirm wif u...,64,u come back 4 dinner rite dad ask confirm wif u
Doing my masters. When will you buy a bb cos i have for sale and how's bf,73,master buy bb co sale bf
"Ahhhh...just woken up!had a bad dream about u tho,so i dont like u right now :) i didnt know anything about comedy night but i guess im up for it.",146,ahhhh woken bad dream u tho dont like u right didnt know anyth comedi night guess im
I'm vivek:)i got call from your number.,39,vivek got call number
Why didn't u call on your lunch?,32,u call lunch
"What i mean was i left too early to check, cos i'm working a 9-6.",65,mean left earli check co work
I want  &lt;#&gt;  rs da:)do you have it?,41,want lt gt rs da
I want to see your pretty pussy...,34,want see pretti pussi
Dear Voucher holder Have your next meal on us. Use the following link on your pc 2 enjoy a 2 4 1 dining experiencehttp://www.vouch4me.com/etlp/dining.asp,153,dear voucher holder next meal us use follow link pc 2 enjoy 2 4 1 dine experiencehttp
"A few people are at the game, I'm at the mall with iouri and kaila",66,peopl game mall iouri kaila
URGENT! We are trying to contact U. Todays draw shows that you have won a å£2000 prize GUARANTEED. Call 09058094507 from land line. Claim 3030. Valid 12hrs only,160,urgent tri contact today draw show prize guarante call 09058094507 land line claim valid 12hr
You can donate å£2.50 to UNICEF's Asian Tsunami disaster support fund by texting DONATE to 864233. å£2.50 will be added to your next bill,137,donat unicef asian tsunami disast support fund text donat ad next bill
Future is not what we planned for tomorrow.....! it is the result of what we do today...! Do the best in present... enjoy the future.,133,futur plan tomorrow result today best present enjoy futur
I will cme i want to go to hos 2morow. After that i wil cme. This what i got from her dear what to do. She didnt say any time,125,cme want go ho 2morow wil cme got dear didnt say time
We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that,132,suppos meet discuss abt trip thought xuhui told afternoon thought go lesson
Hey come online! Use msn... We are all there,44,hey come onlin use msn
I'm fine. Hope you are good. Do take care.,42,fine hope good take care
Oops I was in the shower when u called. Hey a parking garage collapsed at university hospital. See I'm not crazy. Stuff like that DOES happen.,142,oop shower u call hey park garag collaps univers hospit see crazi stuff like happen
Aiyo u so poor thing... Then u dun wan 2 eat? U bathe already?,62,aiyo u poor thing u dun wan 2 eat u bath alreadi
Yar... I tot u knew dis would happen long ago already.,54,yar tot u knew di would happen long ago alreadi
You are gorgeous! keep those pix cumming :) thank you!,54,gorgeou keep pix cum thank
JADE ITS PAUL. Y DIDNåÕT U TXT ME? DO U REMEMBER ME FROM BARMED? I WANT 2 TALK 2 U! TXT ME,90,jade paul didnåõt u txt u rememb barm want 2 talk 2 u txt
Spending new years with my brother and his family. Lets plan to meet next week. Are you ready to be spoiled? :),111,spend new year brother famili let plan meet next week readi spoil
So what u doing today?,22,u today
I said its okay. Sorry,22,said okay sorri
Slept? I thinkThis time ( &lt;#&gt;  pm) is not dangerous,57,slept thinkthi time lt gt pm danger
Networking job is there.,24,network job
goldviking (29/M) is inviting you to be his friend. Reply YES-762 or NO-762 See him: www.SMS.ac/u/goldviking STOP? Send STOP FRND to 62468,138,goldvik invit friend repli see stop send stop frnd 62468
Dont let studying stress you out. L8r.,38,dont let studi stress l8r
That's y u haf 2 keep me busy...,32,u haf 2 keep busi
No rushing. I'm not working. I'm in school so if we rush we go hungry.,70,rush work school rush go hungri
Which channel:-):-):):-).,25,channel
So your telling me I coulda been your real Valentine and I wasn't? U never pick me for NOTHING!!,96,tell coulda real valentin u never pick noth
Phony å£350 award - Todays Voda numbers ending XXXX are selected to receive a å£350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app,177,phoni award today voda number end xxxx select receiv award match pleas call 08712300220 quot claim code 3100 standard rate app
"We made it! Eta at taunton is 12:30 as planned, hope thatÛ÷s still okday?! Good to see you! :-xx",97,made eta taunton plan hope still okday good see
I'm hungry buy smth home...,27,hungri buy smth home
\HEY KATE,9,kate
My drive can only be read. I need to write,42,drive read need write
"Just looked it up and addie goes back Monday, sucks to be her",61,look addi goe back monday suck
Happy new year. Hope you are having a good semester,51,happi new year hope good semest
Esplanade lor. Where else...,28,esplanad lor els
Can you talk with me..,22,talk
"Hmph. Go head, big baller.",26,hmph go head big baller
Well its not like you actually called someone a punto. That woulda been worse.,78,well like actual call someon punto woulda wors
"Nope. Since ayo travelled, he has forgotten his guy",51,nope sinc ayo travel forgotten guy
You still around? Looking to pick up later,42,still around look pick later
CDs 4u: Congratulations ur awarded å£500 of CD gift vouchers or å£125 gift guaranteed & Freeentry 2 å£100 wkly draw xt MUSIC to 87066 TnCs www.ldew.com1win150ppmx3age16 ,169,cd 4u congratul ur award cd gift voucher gift guarante freeentri 2 wkli draw xt music 87066 tnc
There's someone here that has a year  &lt;#&gt;  toyota camry like mr olayiwola's own. Mileage is  &lt;#&gt; k.its clean but i need to know how much will it sell for. If i can raise the dough for it how soon after landing will it sell. Holla back.,247,someon year lt gt toyota camri like mr olayiwola mileag lt gt clean need know much sell rais dough soon land sell holla back
Guess which pub im in? Im as happy as a pig in clover or whatever the saying is! ,81,guess pub im im happi pig clover whatev say
ILL B DOWN SOON,15,ill b soon
Oh k. . I will come tomorrow,28,oh come tomorrow
Go fool dont cheat others ok,28,go fool dont cheat other ok
"My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar",78,mobil sm ur mail regard achan
"By the way, 'rencontre' is to meet again. Mountains dont....",60,way meet mountain dont
You have WON a guaranteed å£1000 cash or a å£2000 prize. To claim yr prize call our customer service representative on 08714712412 between 10am-7pm Cost 10p,156,guarante cash prize claim yr prize call custom servic repres 08714712412 cost 10p
U attend ur driving lesson how many times a wk n which day?,59,u attend ur drive lesson mani time wk n day
"Uncle G, just checking up on you. Do have a rewarding month",59,uncl g check reward month
Hello boytoy ! Geeee ... I'm missing you today. I like to send you a tm and remind you I'm thinking of you ... And you are loved ... *loving kiss*,146,hello boytoy geeee miss today like send tm remind think love love kiss
I think the other two still need to get cash but we can def be ready by 9,73,think two still need get cash def readi 9
Hey gals...U all wanna meet 4 dinner at nÌÂte? ,47,hey gal u wan na meet 4 dinner nìâte
Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs,154,dear 0776xxxxxxx u invit xchat final attempt contact u txt chat 86688 ldn 18yr
Babe ! What are you doing ? Where are you ? Who are you talking to ? Do you think of me ? Are you being a good boy? Are you missing me? Do you love me ?,152,babe talk think good boy miss love
Great! How is the office today?,31,great offic today
"It's cool, we can last a little while. Getting more any time soon?",66,cool last littl get time soon
:-( sad puppy noise,19,sad puppi nois
Yes its possible but dint try. Pls dont tell to any one k,57,ye possibl dint tri pl dont tell one k
Anyway holla at me whenever you're around because I need an excuse to go creep on people in sarasota,100,anyway holla whenev around need excus go creep peopl sarasota
Where you. What happen,22,happen
I was gonna ask you lol but i think its at 7,44,gon na ask lol think 7
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL,146,ur current 500 pound maxim ur send go 86688 cc 08718720201
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08715203685 Identifier Code:4xx26 Expires 13/10/04,133,privat 2003 account statement show 800 point call 08715203685 identifi expir
Go chase after her and run her over while she's crossing the street,67,go chase run cross street
I'd like to tell you my deepest darkest fantasies. Call me 09094646631 just 60p/min. To stop texts call 08712460324 (nat rate),126,like tell deepest darkest fantasi call 09094646631 stop text call 08712460324 nat rate
Hey... Very inconvenient for your sis a not huh?,48,hey inconveni si huh
Ok i vl..do u know i got adsense approved..,43,ok vl u know got adsens approv
"* Was really good to see you the other day dudette, been missing you!",69,realli good see day dudett miss
I want to go to perumbavoor,27,want go perumbavoor
How many times i told in the stage all use to laugh. You not listen aha.,72,mani time told stage use laugh listen aha
(You didn't hear it from me),28,hear
Thanks for being there for me just to talk to on saturday. You are very dear to me. I cherish having you as a brother and role model.,133,thank talk saturday dear cherish brother role model
Pls clarify back if an open return ticket that i have can be preponed for me to go back to kerala.,98,pl clarifi back open return ticket prepon go back kerala
Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468,135,natali invit friend repli see stop send stop frnd 62468
She ran off with a younger man. we will make pretty babies together :),70,ran younger man make pretti babi togeth
Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186.,109,jamster get free wallpap text heart 88888 c appli 16 need help call 08701213186
O ic lol. Should play 9 doors sometime yo,41,ic lol play 9 door sometim yo
"Dunno, my dad said he coming home 2 bring us out 4 lunch. Yup i go w u lor. I call u when i reach school lor...",111,dunno dad said come home 2 bring us 4 lunch yup go w u lor call u reach school lor
Desires- u going to doctor 4 liver. And get a bit stylish. Get ur hair managed. Thats it.,89,u go doctor 4 liver get bit stylish get ur hair manag that
Hmmm.still we dont have opener?,31,dont open
Yeah so basically any time next week you can get away from your mom &amp; get up before 3,89,yeah basic time next week get away mom amp get 3
I will vote for wherever my heart guides me,43,vote wherev heart guid
With my sis lor... We juz watched italian job.,46,si lor juz watch italian job
"Tick, tick, tick .... Where are you ? I could die of loneliness you know ! *pouts* *stomps feet* I need you ...",111,tick tick tick could die loneli know pout stomp feet need
Lmao you know me so well...,27,lmao know well
Am on a train back from northampton so i'm afraid not! I'm staying skyving off today ho ho! Will be around wednesday though. Do you fancy the comedy club this week by the way?,175,train back northampton afraid stay skyve today ho ho around wednesday though fanci comedi club week way
Goodnight da thangam I really miss u dear.,42,goodnight da thangam realli miss u dear
Hey next sun 1030 there's a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free,138,hey next sun 1030 basic yoga cours bugi go pilat intro next sat tell time r free
"Geeeee ... Your internet is really bad today, eh ?",50,geeeee internet realli bad today eh
Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674,145,free video camera phone half price line rental 12 mth 500 cross ntwk min 100 txt call mobileupd8 08001950382
I think i am disturbing her da,30,think disturb da
"Sorry, I'll call you  later. I am in meeting sir.",49,sorri call later meet sir
Havent stuck at orchard in my dad's car. Going 4 dinner now. U leh? So r they free tonight?,91,havent stuck orchard dad car go 4 dinner u leh r free tonight
Ok i also wan 2 watch e 9 pm show...,36,ok also wan 2 watch e 9 pm show
I dunno lei... Like dun haf...,30,dunno lei like dun haf
But your brother transfered only  &lt;#&gt;  +  &lt;#&gt; . Pa.,63,brother transfer lt gt lt gt pa
I calls you later. Afternoon onwords mtnl service get problem in south mumbai. I can hear you but you cann't listen me.,119,call later afternoon onword mtnl servic get problem south mumbai hear listen
83039 62735=å£450 UK Break AccommodationVouchers terms & conditions apply. 2 claim you mustprovide your claim number which is 15541 ,132,83039 uk break accommodationvouch term condit appli 2 claim mustprovid claim number 15541
Talk to g and x about that,26,talk g x
Hai dear friends... This is my new &amp; present number..:) By Rajitha Raj (Ranju),82,hai dear friend new amp present number rajitha raj ranju
5p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,160,5p 4 alfi moon children need song ur mob tell ur m8 txt tone chariti 8007 nokia poli chariti poli zed 08701417012 profit 2 chariti
As in different styles?,23,differ style
WIN a å£200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilGme. TsCs08714740323 1Winawk! age16 å£1.50perweeksub.,137,win shop spree everi week start 2 play text store skilgm tscs08714740323 1winawk age16
Gud ni8 dear..slp well..take care..swt dreams..Muah..,53,gud ni8 dear slp well take care swt dream muah
"This is the 2nd attempt to contract U, you have won this weeks top prize of either å£1000 cash or å£200 prize. Just call 09066361921",132,2nd attempt contract u week top prize either cash prize call 09066361921
"Well, i'm glad you didn't find it totally disagreeable ... Lol",62,well glad find total disagre lol
"Guy, no flash me now. If you go call me, call me. How madam. Take care oh.",74,guy flash go call call madam take care oh
Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.,158,want new nokia 3510i colour phone deliveredtomorrow 300 free minut mobil 100 free text free camcord repli call 08000930705
Mark works tomorrow. He gets out at 5. His work is by your house so he can meet u afterwards.,93,mark work tomorrow get work hous meet u afterward
\Keep ur problems in ur heart,29,ur problem ur heart
"Yeah, give me a call if you've got a minute",43,yeah give call got minut
\HI BABE UAWAKE?FEELLIKW SHIT.JUSTFOUND OUT VIA ALETTER THATMUM GOTMARRIED 4thNOV.BEHIND OURBACKS åÐ FUCKINNICE!SELFISH,119,babe uawak feellikw via alett thatmum gotmarri ourback åð fuckinnic selfish
Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman Hitler Eleven plus two =Twelve plus one Its Amazing... !:-),256,amaz rearrang letter give mean dormitori dirti room astronom moon starer eye see elect result lie let recount woman hitler eleven plu two plu one amaz
Aiya we discuss later lar... Pick Ì_ up at 4 is it?,51,aiya discuss later lar pick 4
Hey happy birthday...,21,hey happi birthday
Sorry i missed your call. Can you please call back.,51,sorri miss call pleas call back
Omg if its not one thing its another. My cat has worms :/ when does this bad day end?,85,omg one thing anoth cat worm bad day end
